epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,train/angle_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,val/angle_loss,lr/pg0,lr/pg1,lr/pg2
1,28.659,1.33726,7.685,0.04317,0.04076,0.19381,0.32258,0.1758,0.12264,0.9348,8.74578,0.046,0.00626,0.00046,0.00046,0.00046
2,33.8689,0.7505,5.35295,0.03437,0.00791,0.38921,0.43548,0.39026,0.32264,0.69819,7.77316,0.04247,0.00291,0.000939929,0.000939929,0.000939929
3,37.9692,0.69857,4.68038,0.02944,0.00471,0.5483,0.64516,0.60516,0.51807,0.63434,5.98622,0.03794,0.00447,0.00141957,0.00141957,0.00141957
4,42.1372,0.73963,3.91775,0.02902,0.00811,0.6056,0.54839,0.57784,0.47278,0.67013,5.61667,0.04287,0.00423,0.00189871,0.00189871,0.00189871
5,46.1152,0.76941,3.22067,0.03598,0.00483,0.71942,0.70312,0.775,0.63735,0.63625,4.65323,0.03968,0.00298,0.00199759,0.00199759,0.00199759
6,50.1335,0.77685,2.67395,0.03337,0.0048,0.8872,0.76117,0.91443,0.77136,0.70115,3.06542,0.04234,0.00419,0.00199623,0.00199623,0.00199623
7,54.2304,0.7551,2.2297,0.03532,0.00441,0.74086,0.91935,0.90631,0.79123,0.60602,1.83536,0.03814,0.00524,0.00199458,0.00199458,0.00199458
8,58.3151,0.70196,1.88167,0.03314,0.00604,0.80726,0.81069,0.91051,0.80232,0.56476,1.51231,0.04018,0.00498,0.00199262,0.00199262,0.00199262
9,62.9942,0.68896,1.70743,0.02986,0.00458,0.868,0.85484,0.89228,0.81994,0.52672,1.26362,0.03535,0.00321,0.00199037,0.00199037,0.00199037
10,66.8997,0.7109,1.42946,0.03384,0.00551,0.98096,0.83087,0.92815,0.84073,0.52842,0.96865,0.03785,0.00234,0.00198781,0.00198781,0.00198781
11,70.8426,0.64975,1.28507,0.03079,0.0065,0.93043,0.91935,0.96169,0.84169,0.61389,0.68338,0.04,0.00447,0.00198496,0.00198496,0.00198496
12,75.0484,0.65206,1.18756,0.03224,0.0055,0.94737,0.87096,0.96117,0.85797,0.54861,0.59495,0.0402,0.00293,0.00198181,0.00198181,0.00198181
13,79.2529,0.68527,1.09508,0.03385,0.01004,0.87052,0.86754,0.94499,0.84136,0.56035,0.59109,0.04039,0.00765,0.00197837,0.00197837,0.00197837
14,83.3615,0.65215,1.00339,0.0298,0.00797,0.91186,0.90323,0.95516,0.85996,0.5332,0.45354,0.03886,0.00361,0.00197463,0.00197463,0.00197463
15,87.2908,0.67175,1.03519,0.03527,0.0048,0.85295,0.93548,0.95696,0.86045,0.53261,0.43411,0.04101,0.00275,0.00197059,0.00197059,0.00197059
16,91.4749,0.64455,0.93192,0.03179,0.00473,0.83715,0.93548,0.95919,0.86199,0.53172,0.4156,0.04178,0.00326,0.00196627,0.00196627,0.00196627
17,95.655,0.63559,0.8646,0.03125,0.00452,0.94314,0.8871,0.96814,0.86426,0.53209,0.35654,0.04024,0.00257,0.00196165,0.00196165,0.00196165
18,99.669,0.63771,0.82718,0.03396,0.00472,0.94903,0.90106,0.97009,0.87367,0.50887,0.34392,0.03833,0.00296,0.00195674,0.00195674,0.00195674
19,103.585,0.66245,0.77565,0.02895,0.00399,0.90941,0.95161,0.96992,0.86395,0.52466,0.35689,0.03855,0.00316,0.00195155,0.00195155,0.00195155
20,107.844,0.62313,0.71161,0.03106,0.00349,0.98209,0.88426,0.96799,0.86158,0.54471,0.35343,0.03714,0.00441,0.00194606,0.00194606,0.00194606
21,111.849,0.57198,0.72057,0.02959,0.00465,0.92672,0.87097,0.95161,0.86971,0.50082,0.39728,0.03726,0.00444,0.0019403,0.0019403,0.0019403
22,115.809,0.60111,0.67905,0.02834,0.00393,0.90053,0.87616,0.94634,0.85284,0.5168,0.44924,0.03687,0.00446,0.00193424,0.00193424,0.00193424
23,119.737,0.62217,0.63051,0.02927,0.00392,0.94777,0.87808,0.95856,0.8733,0.47059,0.43584,0.03603,0.00447,0.00192791,0.00192791,0.00192791
24,123.685,0.60167,0.62371,0.02877,0.00356,0.92765,0.8871,0.96647,0.87663,0.49366,0.36347,0.03371,0.00488,0.0019213,0.0019213,0.0019213
25,127.844,0.58161,0.60751,0.02672,0.00501,0.943,0.90323,0.97387,0.88266,0.4779,0.33484,0.03264,0.00239,0.00191441,0.00191441,0.00191441
26,131.781,0.61302,0.6423,0.02887,0.00348,0.9515,0.93548,0.97646,0.8954,0.49025,0.29958,0.03495,0.00244,0.00190724,0.00190724,0.00190724
27,135.844,0.59953,0.5815,0.03202,0.00353,0.93222,0.90323,0.96413,0.8769,0.50089,0.35935,0.03596,0.00263,0.00189981,0.00189981,0.00189981
28,140.599,0.58887,0.5624,0.02721,0.00362,0.98011,0.91935,0.98366,0.87507,0.54111,0.28557,0.03621,0.00285,0.0018921,0.0018921,0.0018921
29,144.662,0.58248,0.52652,0.02633,0.00327,0.95691,0.91935,0.98197,0.89331,0.49034,0.28124,0.03499,0.00277,0.00188412,0.00188412,0.00188412
30,148.798,0.59178,0.6094,0.03147,0.00379,0.96616,0.92114,0.98584,0.89419,0.47757,0.27629,0.03531,0.00493,0.00187587,0.00187587,0.00187587
31,153.011,0.58703,0.59684,0.02903,0.00489,0.97155,0.91935,0.98559,0.90325,0.46331,0.2414,0.0371,0.00346,0.00186737,0.00186737,0.00186737
32,157.074,0.60911,0.56014,0.03219,0.00414,0.97863,0.8871,0.97451,0.88314,0.51764,0.31498,0.03806,0.00636,0.0018586,0.0018586,0.0018586
33,161.401,0.58856,0.52453,0.03208,0.00289,0.99248,0.8871,0.97447,0.88809,0.53464,0.31524,0.03716,0.00318,0.00184957,0.00184957,0.00184957
34,165.577,0.57713,0.50962,0.02841,0.00329,0.87453,0.95161,0.96513,0.86423,0.57728,0.35359,0.03755,0.00571,0.00184028,0.00184028,0.00184028
35,169.816,0.57586,0.50072,0.03129,0.00504,0.93022,0.93548,0.97062,0.87456,0.56393,0.30927,0.03661,0.00335,0.00183075,0.00183075,0.00183075
36,174.022,0.58908,0.55895,0.03094,0.00429,1,0.83594,0.96114,0.8795,0.50588,0.37138,0.03924,0.00244,0.00182096,0.00182096,0.00182096
37,178.259,0.55086,0.438,0.03061,0.00322,0.98326,0.94754,0.96617,0.85918,0.56933,0.31495,0.0391,0.00301,0.00181093,0.00181093,0.00181093
38,182.389,0.55038,0.50824,0.02978,0.00294,0.94973,0.91431,0.97985,0.90042,0.50385,0.29264,0.03851,0.00358,0.00180065,0.00180065,0.00180065
39,186.946,0.59228,0.52071,0.02707,0.00371,0.93293,0.89744,0.96982,0.87455,0.51537,0.34694,0.0378,0.00397,0.00179013,0.00179013,0.00179013
40,191.609,0.498,0.40468,0.02871,0.00324,0.93933,0.8871,0.96671,0.89034,0.44998,0.36093,0.03913,0.003,0.00177937,0.00177937,0.00177937
41,196.313,0.54875,0.4553,0.02725,0.00305,0.89651,0.97814,0.9847,0.89906,0.48302,0.26338,0.03851,0.00548,0.00176838,0.00176838,0.00176838
42,200.851,0.5909,0.48439,0.02867,0.00424,0.95275,0.95161,0.98871,0.88315,0.54085,0.2594,0.03723,0.00525,0.00175716,0.00175716,0.00175716
43,205.57,0.58229,0.51261,0.02946,0.00416,1,0.90084,0.98604,0.90286,0.47481,0.26868,0.03506,0.00367,0.00174571,0.00174571,0.00174571
44,210.252,0.56001,0.50641,0.02847,0.00318,0.94726,0.95161,0.98602,0.91129,0.46303,0.24221,0.03544,0.00311,0.00173404,0.00173404,0.00173404
45,214.831,0.50455,0.44338,0.02955,0.00286,0.93763,0.96987,0.9898,0.90703,0.48419,0.25514,0.03439,0.00283,0.00172215,0.00172215,0.00172215
46,219.186,0.49925,0.47569,0.02734,0.00279,0.94383,0.85484,0.97157,0.8894,0.46739,0.32272,0.03412,0.00297,0.00171004,0.00171004,0.00171004
47,223.376,0.4952,0.44974,0.02849,0.00221,0.96813,0.98001,0.99206,0.90201,0.5,0.22965,0.03258,0.00239,0.00169771,0.00169771,0.00169771
48,227.68,0.52171,0.44705,0.02825,0.00227,0.99009,0.87097,0.98005,0.89019,0.53266,0.31485,0.03483,0.0034,0.00168518,0.00168518,0.00168518
49,231.88,0.5089,0.42008,0.02791,0.00459,0.97899,0.87097,0.94861,0.86246,0.53505,0.38623,0.03457,0.00355,0.00167244,0.00167244,0.00167244
50,236.238,0.51001,0.42127,0.02648,0.00311,0.93553,0.93626,0.96842,0.86522,0.5309,0.33535,0.0335,0.00558,0.0016595,0.0016595,0.0016595
51,240.447,0.54575,0.51062,0.02562,0.00226,0.96567,0.90736,0.97916,0.87218,0.51808,0.33302,0.03509,0.00427,0.00164636,0.00164636,0.00164636
52,244.762,0.55853,0.45574,0.0265,0.0035,0.93593,0.94244,0.9789,0.88479,0.49476,0.30554,0.03513,0.00399,0.00163303,0.00163303,0.00163303
53,249.408,0.54348,0.45272,0.0249,0.00309,0.90748,0.94927,0.96901,0.89429,0.48589,0.3387,0.03603,0.00364,0.0016195,0.0016195,0.0016195
54,254.146,0.49461,0.36663,0.02518,0.00322,0.94459,0.8871,0.97175,0.89208,0.48161,0.32315,0.03514,0.00326,0.0016058,0.0016058,0.0016058
55,258.692,0.50084,0.39719,0.02715,0.00281,0.92308,0.96774,0.98567,0.89445,0.48626,0.24422,0.03626,0.00345,0.00159191,0.00159191,0.00159191
56,263.447,0.5031,0.39375,0.02819,0.00292,0.96074,0.98387,0.99163,0.89887,0.47988,0.23441,0.03877,0.00259,0.00157784,0.00157784,0.00157784
57,268.062,0.50705,0.4038,0.02884,0.00277,0.99178,0.96774,0.99366,0.89391,0.50387,0.22125,0.03733,0.00238,0.0015636,0.0015636,0.0015636
