epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,train/angle_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,val/angle_loss,lr/pg0,lr/pg1,lr/pg2
1,74.0764,0.84686,4.2997,0.03302,0.00954,0.89689,0.79032,0.9049,0.75373,0.56387,1.81761,0.03419,0.00351,0.000663522,0.000663522,0.000663522
2,102.679,0.822,1.5713,0.03235,0.00868,0.76108,0.80645,0.83103,0.63642,0.75878,0.78505,0.03472,0.04372,0.00133009,0.00133009,0.00133009
3,131.68,0.89418,1.17996,0.03106,0.01549,0.82307,0.72581,0.86784,0.67049,0.8313,0.75186,0.03841,0.00447,0.00199625,0.00199625,0.00199625
4,158.103,0.94524,0.97801,0.03206,0.01135,0.64301,0.85484,0.81042,0.60347,0.82264,1.32686,0.03741,0.00582,0.00199864,0.00199864,0.00199864
5,184.652,0.91306,0.91969,0.03622,0.00951,0.91468,0.69164,0.83422,0.70322,0.69219,0.94135,0.03548,0.00502,0.00199759,0.00199759,0.00199759
6,211.019,0.99112,1.16673,0.0386,0.0146,0.82333,0.59677,0.78163,0.57882,0.85653,0.97449,0.0441,0.00802,0.00199623,0.00199623,0.00199623
7,237.578,0.96725,1.05211,0.03667,0.00851,0.91807,0.87097,0.9137,0.72306,0.7679,0.66804,0.03507,0.00533,0.00199458,0.00199458,0.00199458
8,271.58,0.89716,0.9006,0.0353,0.01057,0.87942,0.82344,0.89136,0.74755,0.67144,0.74534,0.03684,0.00641,0.00199262,0.00199262,0.00199262
9,301.098,0.85943,0.75134,0.03061,0.00921,0.82609,0.79032,0.83759,0.69728,0.67078,0.8484,0.03783,0.0046,0.00199037,0.00199037,0.00199037
10,332.303,0.86049,0.77835,0.03084,0.00782,0.87381,0.75806,0.88194,0.71554,0.70277,0.67019,0.03971,0.00738,0.00198781,0.00198781,0.00198781
11,364.219,0.8695,0.75432,0.03502,0.01264,0.84802,0.8871,0.92828,0.74237,0.68284,0.78282,0.03836,0.00358,0.00198496,0.00198496,0.00198496
12,390.718,0.83388,0.83614,0.03519,0.00731,0.91308,0.8472,0.91421,0.74398,0.70683,0.74403,0.03652,0.00563,0.00198181,0.00198181,0.00198181
13,417.023,0.79671,0.67097,0.0303,0.01151,0.9733,0.85484,0.9358,0.80375,0.56946,0.70014,0.03385,0.00503,0.00197837,0.00197837,0.00197837
14,443.566,0.78867,0.57837,0.03023,0.00752,0.88032,0.83055,0.89954,0.78295,0.55959,0.58828,0.03091,0.00483,0.00197463,0.00197463,0.00197463
15,469.968,0.87191,0.75942,0.03339,0.01086,0.91777,0.85484,0.94703,0.77748,0.67759,0.478,0.04174,0.00346,0.00197059,0.00197059,0.00197059
16,500.737,0.79501,0.6317,0.03268,0.00615,0.86254,0.9109,0.96209,0.80166,0.61703,0.42036,0.04071,0.00318,0.00196627,0.00196627,0.00196627
17,531.525,0.74702,0.57128,0.03128,0.01059,0.88033,0.90323,0.95917,0.81522,0.61819,0.39348,0.03986,0.00367,0.00196165,0.00196165,0.00196165
18,560.754,0.76904,0.63782,0.03073,0.01458,0.88834,0.8983,0.93045,0.77659,0.65533,0.505,0.03638,0.00352,0.00195674,0.00195674,0.00195674
19,587.768,0.72791,0.57114,0.03066,0.00759,0.88964,0.91017,0.95668,0.80762,0.58795,0.3789,0.03525,0.00338,0.00195155,0.00195155,0.00195155
20,614.116,0.77251,0.62725,0.0308,0.01124,0.90174,0.91935,0.95862,0.81818,0.56687,0.43659,0.03369,0.00308,0.00194606,0.00194606,0.00194606
21,640.745,0.75113,0.62286,0.02844,0.00662,0.9087,0.96324,0.9645,0.82863,0.58292,0.37874,0.03194,0.0043,0.0019403,0.0019403,0.0019403
22,667.548,0.72444,0.60186,0.03167,0.00659,0.97778,0.77419,0.87996,0.7633,0.55546,0.59799,0.0312,0.00317,0.00193424,0.00193424,0.00193424
23,694.177,0.74562,0.56374,0.02975,0.00892,0.96098,0.90323,0.94992,0.80693,0.54898,0.52259,0.03099,0.00375,0.00192791,0.00192791,0.00192791
24,721.103,0.77789,0.61809,0.02833,0.00968,0.89575,0.97013,0.98065,0.82583,0.5992,0.35445,0.03147,0.00596,0.0019213,0.0019213,0.0019213
