epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,train/angle_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,val/angle_loss,lr/pg0,lr/pg1,lr/pg2
1,36.1832,1.04004,3.80052,0.03843,0.0215,0.77182,0.62903,0.75657,0.6262,0.69675,2.65738,0.0368,0.00929,0.000657277,0.000657277,0.000657277
2,47.8034,0.78737,1.59564,0.03117,0.00702,0.80183,0.84846,0.8671,0.76722,0.57309,1.03296,0.03429,0.0053,0.00132384,0.00132384,0.00132384
3,58.3431,0.92272,1.07625,0.03068,0.0075,0.91922,0.93548,0.95529,0.8109,0.64342,0.56642,0.03398,0.00687,0.00199001,0.00199001,0.00199001
4,68.9093,0.87924,0.89256,0.02841,0.01232,0.86903,0.96774,0.96659,0.81088,0.69556,0.45115,0.03762,0.00572,0.00199864,0.00199864,0.00199864
5,79.3225,0.84938,0.80156,0.03246,0.00936,0.89014,0.91489,0.95276,0.81303,0.65243,0.45795,0.03638,0.00538,0.00199759,0.00199759,0.00199759
6,89.9754,0.87145,0.87618,0.03054,0.01136,0.90208,0.90323,0.93388,0.78753,0.6563,0.66258,0.03291,0.00726,0.00199623,0.00199623,0.00199623
7,100.802,0.84269,0.75179,0.03177,0.00761,0.92293,0.96578,0.98592,0.86056,0.59888,0.36523,0.0304,0.00389,0.00199458,0.00199458,0.00199458
8,112.29,0.79955,0.6638,0.03281,0.00973,0.93748,0.93548,0.97707,0.8453,0.60224,0.34905,0.03068,0.00621,0.00199262,0.00199262,0.00199262
9,123.649,0.81349,0.60054,0.02795,0.00813,0.95022,0.92361,0.97631,0.86642,0.56143,0.34367,0.03293,0.00524,0.00199037,0.00199037,0.00199037
10,134.17,0.78031,0.62084,0.02941,0.00719,0.98295,0.9297,0.97313,0.84267,0.61705,0.3834,0.03156,0.00453,0.00198781,0.00198781,0.00198781
11,144.755,0.85592,0.68425,0.03176,0.01251,0.96713,0.94924,0.99058,0.84896,0.63224,0.27812,0.03524,0.00452,0.00198496,0.00198496,0.00198496
12,157.322,0.82683,0.60145,0.03325,0.00871,0.93415,0.96774,0.97795,0.86306,0.51851,0.41812,0.03021,0.00365,0.00198181,0.00198181,0.00198181
13,169.436,0.81331,0.65948,0.03113,0.01063,0.96755,0.96199,0.98864,0.87678,0.53844,0.34774,0.03068,0.00544,0.00197837,0.00197837,0.00197837
