epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,train/angle_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,val/angle_loss,lr/pg0,lr/pg1,lr/pg2
1,78.0821,2.02138,8.87403,0.04815,0.0976,0.00312,0.91935,0.18,0.08144,2.0108,8.97831,0.07132,0.02603,0.000657277,0.000657277,0.000657277
2,105.56,1.59605,5.91869,0.04038,0.03852,0.0089,0.98387,0.38557,0.25182,1.27677,7.51568,0.04958,0.00683,0.00132384,0.00132384,0.00132384
3,131.985,1.57979,5.02865,0.0411,0.0271,0.42491,0.50053,0.45319,0.10257,2.50735,5.19399,0.1104,0.03734,0.00199001,0.00199001,0.00199001
4,158.558,1.45061,4.2524,0.03901,0.01766,0.69653,0.5,0.63879,0.41999,1.30326,2.45154,0.05343,0.01089,0.00199864,0.00199864,0.00199864
5,185.07,1.50518,3.46449,0.04389,0.01484,0.74043,0.64413,0.72966,0.45101,1.4439,1.74547,0.05665,0.01275,0.00199759,0.00199759,0.00199759
6,211.992,1.38236,3.01961,0.03642,0.01953,0.71136,0.72581,0.81672,0.50255,1.48436,1.72762,0.05116,0.01315,0.00199623,0.00199623,0.00199623
7,238.419,1.29468,2.29514,0.03377,0.00898,0.83283,0.80645,0.87576,0.6222,1.0917,1.50488,0.04058,0.005,0.00199458,0.00199458,0.00199458
8,264.43,1.2102,2.10767,0.0358,0.01594,0.76433,0.77419,0.86241,0.67383,0.88431,1.33152,0.0385,0.00493,0.00199262,0.00199262,0.00199262
9,291.397,1.21271,1.90294,0.0351,0.01208,0.86554,0.83067,0.89676,0.654,0.9879,1.16815,0.0438,0.00963,0.00199037,0.00199037,0.00199037
10,314.194,1.04863,1.56353,0.03256,0.0095,0.94494,0.87097,0.96245,0.7618,0.89277,0.73804,0.03989,0.00353,0.00198781,0.00198781,0.00198781
11,325.674,1.05605,1.57579,0.03331,0.01337,0.79807,0.765,0.89103,0.75893,0.74215,0.78114,0.03515,0.00404,0.00198496,0.00198496,0.00198496
12,336.823,1.03032,1.32993,0.03246,0.01038,0.80572,0.90323,0.92218,0.74478,0.84101,0.66882,0.03367,0.00382,0.00198181,0.00198181,0.00198181
13,347.828,1.13337,1.35703,0.03285,0.01395,0.93729,0.85484,0.96122,0.79181,0.75537,0.68718,0.03543,0.00325,0.00197837,0.00197837,0.00197837
14,358.8,1.00926,1.12245,0.03087,0.01076,0.89233,0.87097,0.93581,0.71433,0.87346,0.77805,0.03656,0.00387,0.00197463,0.00197463,0.00197463
15,369.606,1.04094,1.12841,0.03269,0.01436,0.86896,0.83871,0.9223,0.78537,0.71977,0.59326,0.02905,0.00538,0.00197059,0.00197059,0.00197059
16,380.737,1.05873,0.97987,0.03229,0.00932,0.90569,0.85484,0.94981,0.7843,0.75009,0.55515,0.0351,0.00341,0.00196627,0.00196627,0.00196627
17,397.518,0.88178,0.92488,0.02928,0.00941,0.90716,0.94567,0.97645,0.79368,0.80125,0.47901,0.03228,0.00553,0.00196165,0.00196165,0.00196165
18,420.882,0.93941,0.92764,0.03029,0.01306,0.91941,0.9201,0.97613,0.80565,0.76479,0.40726,0.03398,0.00527,0.00195674,0.00195674,0.00195674
19,444.579,0.89578,0.81539,0.03054,0.00947,0.9489,0.89851,0.97775,0.80071,0.79921,0.39274,0.0382,0.00374,0.00195155,0.00195155,0.00195155
20,467.99,0.94724,0.79617,0.03145,0.01231,0.97558,0.82258,0.9586,0.83277,0.6557,0.44199,0.03093,0.0091,0.00194606,0.00194606,0.00194606
21,491.328,0.88712,0.78468,0.03201,0.00862,0.89099,0.93548,0.95758,0.81662,0.71208,0.51431,0.03194,0.00416,0.0019403,0.0019403,0.0019403
22,514.608,0.92204,0.82528,0.03065,0.00768,0.99021,0.90323,0.97724,0.85046,0.61506,0.42353,0.03099,0.00426,0.00193424,0.00193424,0.00193424
23,538.292,0.90081,0.74562,0.0304,0.01038,0.96428,0.87071,0.97291,0.86495,0.57445,0.38105,0.02739,0.00456,0.00192791,0.00192791,0.00192791
24,556.091,0.84534,0.73354,0.02686,0.00998,0.93211,0.91935,0.96625,0.86683,0.53338,0.42403,0.02844,0.00357,0.0019213,0.0019213,0.0019213
25,579.601,0.86255,0.75132,0.03029,0.0087,0.91023,0.90323,0.9543,0.84524,0.60358,0.40406,0.03267,0.00428,0.00191441,0.00191441,0.00191441
26,603.132,0.85811,0.71009,0.02969,0.01338,0.90718,0.94587,0.96942,0.86196,0.54351,0.42233,0.02631,0.00482,0.00190724,0.00190724,0.00190724
27,626.22,0.81878,0.73157,0.03008,0.01414,0.92958,0.80645,0.94583,0.83767,0.61151,0.43755,0.03042,0.00326,0.00189981,0.00189981,0.00189981
28,649.702,0.77211,0.64667,0.03054,0.01379,0.81896,0.93548,0.94458,0.83549,0.57201,0.42214,0.02799,0.00357,0.0018921,0.0018921,0.0018921
29,673.092,0.78664,0.71646,0.02615,0.01212,0.94774,0.8871,0.96069,0.82405,0.63201,0.37851,0.03248,0.00614,0.00188412,0.00188412,0.00188412
30,696.092,0.88626,0.84623,0.0297,0.01423,0.89082,0.8871,0.95514,0.85745,0.59947,0.41028,0.03476,0.0037,0.00187587,0.00187587,0.00187587
31,719.265,0.88131,0.69025,0.03397,0.01254,0.94677,0.86073,0.97406,0.84103,0.6693,0.36673,0.03447,0.00363,0.00186737,0.00186737,0.00186737
32,742.718,0.82781,0.65362,0.02961,0.0169,0.96589,0.91338,0.98,0.86949,0.57444,0.30888,0.03262,0.00416,0.0018586,0.0018586,0.0018586
33,766.381,0.81745,0.59391,0.03438,0.01406,0.96586,0.91256,0.96781,0.83981,0.62344,0.36272,0.03152,0.00515,0.00184957,0.00184957,0.00184957
34,789.618,0.80951,0.62487,0.03193,0.00948,0.90629,0.95161,0.97256,0.85737,0.57839,0.32864,0.02756,0.00332,0.00184028,0.00184028,0.00184028
35,810.491,0.7196,0.57735,0.02613,0.01459,0.96695,0.94386,0.97692,0.87223,0.55962,0.32795,0.02611,0.00886,0.00183075,0.00183075,0.00183075
