epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,train/angle_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,val/angle_loss,lr/pg0,lr/pg1,lr/pg2
1,40.269,1.91023,11.6738,0.04672,0.09658,0.56849,0.53226,0.56943,0.36444,1.43855,8.21551,0.05574,0.03127,0.000660377,0.000660377,0.000660377
2,57.7671,1.39728,8.34584,0.03561,0.035,0.66331,0.59677,0.69668,0.31888,1.50395,7.50181,0.05912,0.03881,0.00132694,0.00132694,0.00132694
3,77.6762,1.21823,7.6091,0.03207,0.02125,0.6292,0.6569,0.736,0.48284,1.20459,6.07979,0.05071,0.01069,0.00199311,0.00199311,0.00199311
4,93.7591,1.2386,6.76687,0.03542,0.01715,0.8677,0.67742,0.79835,0.50297,1.25485,4.94843,0.05291,0.01198,0.00199864,0.00199864,0.00199864
5,110.049,1.32322,6.00368,0.03723,0.01779,0.76114,0.69355,0.7659,0.5783,0.97539,3.79711,0.04464,0.01578,0.00199759,0.00199759,0.00199759
6,126.901,1.18821,5.4969,0.03422,0.0188,0.73068,0.61263,0.70527,0.53744,0.93578,3.36182,0.04001,0.0081,0.00199623,0.00199623,0.00199623
7,147.215,1.23719,4.57389,0.03558,0.0119,0.69998,0.83871,0.83352,0.64795,0.91447,2.78862,0.03667,0.00909,0.00199458,0.00199458,0.00199458
8,167.627,1.09252,4.06438,0.03348,0.01364,0.85553,0.74194,0.86728,0.67444,0.93138,2.3239,0.04065,0.00954,0.00199262,0.00199262,0.00199262
9,183.46,1.08997,3.63854,0.0307,0.01297,0.88097,0.79032,0.91364,0.73217,0.82582,1.95775,0.0367,0.00524,0.00199037,0.00199037,0.00199037
10,199.321,0.99294,3.24492,0.02969,0.00925,0.8462,0.79876,0.90139,0.7639,0.73026,1.80075,0.03161,0.00534,0.00198781,0.00198781,0.00198781
11,215.204,1.05301,3.21825,0.03163,0.01401,0.81152,0.90278,0.92067,0.76382,0.76769,1.48542,0.03378,0.00576,0.00198496,0.00198496,0.00198496
12,231.131,0.94775,2.57924,0.03303,0.00991,0.90945,0.85484,0.94128,0.80818,0.66734,1.32722,0.03155,0.00492,0.00198181,0.00198181,0.00198181
13,247.258,0.98444,2.56398,0.02999,0.01464,0.88467,0.8661,0.9174,0.75501,0.76176,1.34825,0.03751,0.00512,0.00197837,0.00197837,0.00197837
14,263.53,0.93957,2.26413,0.02751,0.00994,0.87917,0.77419,0.89276,0.77726,0.71572,1.33851,0.03453,0.00531,0.00197463,0.00197463,0.00197463
15,279.02,0.99795,2.15676,0.02993,0.01604,0.92168,0.83871,0.914,0.76075,0.79759,1.20516,0.03217,0.00424,0.00197059,0.00197059,0.00197059
16,298.009,0.88598,1.81459,0.02853,0.00829,0.87668,0.87097,0.93623,0.80462,0.66502,1.07345,0.03468,0.00648,0.00196627,0.00196627,0.00196627
17,319.097,0.84337,1.67219,0.0281,0.01064,0.91641,0.88422,0.95659,0.81217,0.73041,0.84746,0.03512,0.00348,0.00196165,0.00196165,0.00196165
