epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,train/angle_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,val/angle_loss,lr/pg0,lr/pg1,lr/pg2
1,33.9892,1.96715,9.03283,0.04844,0.1507,0.00334,0.98387,0.48663,0.30752,1.42086,8.19529,0.05667,0.02191,0.000657277,0.000657277,0.000657277
2,44.404,1.40912,5.83267,0.03683,0.04206,0.61087,0.51613,0.60221,0.42341,1.07844,6.96858,0.04066,0.0406,0.00132384,0.00132384,0.00132384
3,54.2945,1.39113,4.97166,0.0361,0.03325,0.72216,0.75464,0.75119,0.44599,1.49233,5.07258,0.05428,0.02034,0.00199001,0.00199001,0.00199001
4,64.334,1.281,4.17283,0.03486,0.02532,0.63501,0.75806,0.73224,0.48319,1.26729,2.5133,0.05427,0.02055,0.00199864,0.00199864,0.00199864
5,76.8409,1.2538,3.1705,0.03472,0.02082,0.79618,0.72581,0.76235,0.53775,1.16664,2.05414,0.04569,0.04062,0.00199759,0.00199759,0.00199759
6,90.1799,1.24489,2.95266,0.03657,0.01586,0.61287,0.81712,0.76432,0.58315,0.92627,1.97624,0.04156,0.00464,0.00199623,0.00199623,0.00199623
7,102.065,1.14742,2.33376,0.03385,0.00903,0.85583,0.79032,0.91195,0.757,0.73247,1.50583,0.03582,0.0072,0.00199458,0.00199458,0.00199458
8,112.567,1.05685,2.05694,0.03587,0.01486,0.77572,0.83683,0.88176,0.75287,0.69824,1.31541,0.03399,0.0065,0.00199262,0.00199262,0.00199262
9,123.341,0.98879,1.7859,0.03064,0.01351,0.93184,0.72581,0.90148,0.75317,0.7796,1.15065,0.03787,0.00567,0.00199037,0.00199037,0.00199037
10,134.238,0.95919,1.51343,0.0306,0.00883,0.89954,0.86658,0.94176,0.80056,0.65748,0.99902,0.033,0.00511,0.00198781,0.00198781,0.00198781
11,145.923,0.98355,1.50765,0.0337,0.01081,0.83113,0.8871,0.92154,0.80794,0.62793,0.75358,0.03151,0.00495,0.00198496,0.00198496,0.00198496
12,156.924,0.97635,1.32615,0.03333,0.00978,0.91489,0.86697,0.94191,0.76939,0.77321,0.6206,0.03666,0.00361,0.00198181,0.00198181,0.00198181
13,167.082,1.01771,1.243,0.03086,0.01505,0.93019,0.85969,0.94273,0.80465,0.6811,0.70726,0.03097,0.00566,0.00197837,0.00197837,0.00197837
14,177.151,0.91531,1.06975,0.02736,0.01031,0.96293,0.83796,0.94643,0.8053,0.67876,0.54116,0.03276,0.00403,0.00197463,0.00197463,0.00197463
15,187.29,0.94097,1.07148,0.02984,0.01487,0.85979,0.89021,0.94117,0.81903,0.65376,0.51826,0.03316,0.00488,0.00197059,0.00197059,0.00197059
16,197.31,0.88499,0.96223,0.02887,0.00827,0.95004,0.92008,0.97743,0.85208,0.62379,0.36593,0.03325,0.00451,0.00196627,0.00196627,0.00196627
17,207.775,0.78774,0.86107,0.0287,0.00912,0.84529,0.90323,0.95438,0.80961,0.64452,0.46029,0.03369,0.00411,0.00196165,0.00196165,0.00196165
18,218.007,0.82862,0.86733,0.03042,0.01375,0.87222,0.95161,0.9465,0.81422,0.63627,0.43736,0.0346,0.00377,0.00195674,0.00195674,0.00195674
19,228.091,0.83797,0.81716,0.0282,0.00802,0.92665,0.93548,0.9622,0.80738,0.69681,0.44948,0.03394,0.00532,0.00195155,0.00195155,0.00195155
20,238.188,0.80049,0.81863,0.0278,0.01253,0.96052,0.82258,0.95162,0.81824,0.63309,0.46249,0.03107,0.00359,0.00194606,0.00194606,0.00194606
21,248.254,0.8223,0.81367,0.03119,0.01131,0.9047,0.90323,0.9585,0.81807,0.66739,0.41701,0.03396,0.0051,0.0019403,0.0019403,0.0019403
22,257.982,0.79661,0.79768,0.02962,0.00691,0.9174,0.89579,0.95861,0.82278,0.64829,0.46199,0.03236,0.00542,0.00193424,0.00193424,0.00193424
23,268.152,0.80145,0.69861,0.02977,0.00965,0.94276,0.91935,0.95746,0.83183,0.62675,0.42652,0.0362,0.00405,0.00192791,0.00192791,0.00192791
24,288.848,0.79042,0.69903,0.0259,0.01054,0.9774,0.85484,0.96443,0.87089,0.56353,0.3937,0.03036,0.00413,0.0019213,0.0019213,0.0019213
25,315.905,0.78052,0.71454,0.02966,0.00829,0.97333,0.91935,0.9807,0.86355,0.57188,0.34247,0.02846,0.00349,0.00191441,0.00191441,0.00191441
26,338.897,0.78113,0.6897,0.02736,0.01412,0.88476,0.96774,0.97915,0.8636,0.54164,0.3498,0.02777,0.00489,0.00190724,0.00190724,0.00190724
27,349.558,0.76523,0.64284,0.02992,0.01529,0.88869,0.9014,0.95515,0.86451,0.48567,0.40619,0.02861,0.00447,0.00189981,0.00189981,0.00189981
28,360.599,0.74433,0.63016,0.03018,0.01413,0.90151,0.8871,0.96361,0.84741,0.55075,0.4078,0.03197,0.00331,0.0018921,0.0018921,0.0018921
29,371.191,0.75552,0.66603,0.02562,0.01431,0.96321,0.84456,0.95897,0.86272,0.51012,0.4691,0.02868,0.0035,0.00188412,0.00188412,0.00188412
30,382.001,0.73986,0.69893,0.02724,0.01495,0.89229,0.91935,0.95509,0.83984,0.56554,0.36706,0.03521,0.00574,0.00187587,0.00187587,0.00187587
31,392.974,0.80308,0.67417,0.03113,0.01262,0.98243,0.90198,0.98302,0.85835,0.55891,0.33234,0.0302,0.00357,0.00186737,0.00186737,0.00186737
32,403.738,0.73474,0.63357,0.02773,0.01651,0.91574,0.91935,0.96264,0.86335,0.51688,0.40183,0.02834,0.00401,0.0018586,0.0018586,0.0018586
33,414.656,0.739,0.60728,0.03032,0.01372,0.91019,0.96774,0.98679,0.88869,0.51733,0.30861,0.02656,0.00401,0.00184957,0.00184957,0.00184957
34,425.425,0.71787,0.57434,0.03037,0.00908,0.96663,0.93449,0.98991,0.88055,0.54737,0.2774,0.02797,0.00312,0.00184028,0.00184028,0.00184028
35,435.658,0.69685,0.60623,0.02514,0.01403,0.94782,0.95161,0.98348,0.88079,0.55231,0.28808,0.0306,0.00342,0.00183075,0.00183075,0.00183075
36,445.739,0.78889,0.59032,0.02826,0.01022,0.95285,0.97781,0.99192,0.87863,0.56178,0.24977,0.03671,0.00397,0.00182096,0.00182096,0.00182096
37,456.031,0.75761,0.57534,0.02769,0.01566,0.96653,0.93171,0.97826,0.86847,0.53913,0.32359,0.03164,0.00334,0.00181093,0.00181093,0.00181093
38,466.094,0.73098,0.53179,0.02518,0.01755,0.91982,0.95161,0.98052,0.89304,0.49672,0.29341,0.02954,0.00417,0.00180065,0.00180065,0.00180065
39,476.14,0.67011,0.58256,0.02781,0.01029,0.90388,0.91006,0.94591,0.84816,0.53682,0.38635,0.0319,0.00545,0.00179013,0.00179013,0.00179013
40,486.367,0.72429,0.57006,0.02694,0.01209,0.82535,0.9909,0.95934,0.86094,0.50071,0.36255,0.03064,0.0037,0.00177937,0.00177937,0.00177937
41,496.541,0.68737,0.56076,0.02611,0.01001,0.98387,0.98375,0.99363,0.86229,0.56495,0.26075,0.03303,0.00569,0.00176838,0.00176838,0.00176838
42,506.667,0.69988,0.53427,0.02698,0.00795,0.8919,0.93154,0.97452,0.86245,0.54824,0.32427,0.03122,0.00554,0.00175716,0.00175716,0.00175716
