epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,train/angle_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,val/angle_loss,lr/pg0,lr/pg1,lr/pg2
1,89.5324,1.21489,4.88704,0.03614,0.03077,0.75498,0.80645,0.83622,0.70249,0.70826,2.42899,0.03549,0.00397,0.00052,0.00052,0.00052
2,146.951,0.85755,1.57058,0.03056,0.01034,0.79781,0.82258,0.85475,0.67055,1.04911,0.71371,0.03937,0.01961,0.00105992,0.00105992,0.00105992
3,210.843,0.86141,0.62656,0.02841,0.01384,0.68746,0.75806,0.8074,0.65695,0.94647,0.95787,0.03478,0.00804,0.00159952,0.00159952,0.00159952
4,260.779,0.88584,0.44845,0.02767,0.02343,0.73787,0.82258,0.83047,0.68365,1.0031,0.5709,0.03731,0.01573,0.00199864,0.00199864,0.00199864
5,317.536,0.85567,0.34271,0.02707,0.01544,0.6599,0.75806,0.73942,0.61803,1.01867,0.61813,0.0383,0.02386,0.00199759,0.00199759,0.00199759
6,371.714,0.85876,0.29382,0.02613,0.00985,0.85692,0.80645,0.89506,0.7232,0.94478,0.31381,0.04001,0.00949,0.00199623,0.00199623,0.00199623
7,425.522,0.75795,0.22844,0.02783,0.00937,0.82231,0.77419,0.85554,0.71188,0.87999,0.37013,0.03414,0.01033,0.00199458,0.00199458,0.00199458
8,464.026,0.77855,0.25558,0.02562,0.01556,0.89095,0.80645,0.90036,0.75728,0.87293,0.31356,0.03445,0.01388,0.00199262,0.00199262,0.00199262
9,508.626,0.66756,0.20606,0.0223,0.01505,0.88167,0.91935,0.9599,0.82855,0.75233,0.22465,0.02945,0.01197,0.00199037,0.00199037,0.00199037
10,557.13,0.74129,0.24151,0.02533,0.01199,0.79886,0.82258,0.88369,0.75136,0.81954,0.33344,0.04091,0.00584,0.00198781,0.00198781,0.00198781
11,605.729,0.75532,0.23131,0.02841,0.01463,0.95554,0.82258,0.9157,0.78612,0.79513,0.4675,0.0321,0.00712,0.00198496,0.00198496,0.00198496
12,652.551,0.79291,0.23938,0.02416,0.01786,0.90523,0.80645,0.93491,0.76941,0.90019,0.29791,0.03761,0.00884,0.00198181,0.00198181,0.00198181
13,721.544,0.72788,0.21997,0.02535,0.01622,0.68158,0.87097,0.84981,0.71386,0.80855,0.42626,0.03269,0.00715,0.00197837,0.00197837,0.00197837
14,772.666,0.71081,0.24081,0.02342,0.02301,0.84439,0.90323,0.92988,0.80458,0.74993,0.34217,0.03268,0.00502,0.00197463,0.00197463,0.00197463
15,834.231,0.70638,0.18797,0.02492,0.01546,0.93288,0.89674,0.96097,0.86285,0.62951,0.19256,0.02903,0.00762,0.00197059,0.00197059,0.00197059
16,890.402,0.68742,0.18982,0.02235,0.01334,0.93938,0.8871,0.92953,0.83709,0.66369,0.25267,0.03053,0.00525,0.00196627,0.00196627,0.00196627
17,934.208,0.64247,0.15544,0.0227,0.01436,0.96597,0.91577,0.9602,0.85999,0.64687,0.16899,0.03147,0.00874,0.00196165,0.00196165,0.00196165
